longitude,latitude,name,address
13.3869,60.89899,Limedsforsen - Rastplats,Pris: 0.00 SEK - Inlagt 2021-08-11 | Vatten Kassettömning WC HCP Sopor | Nära vatten Fiskeplats Sevärdhet
13.858061,60.56504,Almasjön - Rastplats,Pris: 0.00 SEK - Inlagt 2021-07-05 | Sopor | Nära vatten
13.488941,60.514417,Lisskogsbrändan - Rastplats,Pris: 0.00 SEK - Inlagt 2006-11-28 | Kassettömning WC HCP Sopor | Restaurang
13.776056,60.621806,Vemforsen - Naturcamping,Pris: 0.00 SEK - Inlagt 2021-08-10 |  | Nära vatten Fiskeplats Lugnt och Avskilt Naturnära
14.154167,60.784167,Siknäs Naturcamping - Naturcamping,Pris: 150.00 SEK - Inlagt 2025-06-23 | TC Sopor | Badplats Fiskeplats Naturnära
14.648894,60.962186,Edåkersvägen - Parkering,Pris: 250.00 SEK - Inlagt 2025-07-11 | WC Sopor | Lugnt och Avskilt
14.5475,61.009444,Mora Husbilsparkering - Korttidsparkering,Pris: 0.00 SEK - Inlagt 2020-01-12 |  | Centrumnära
14.549444,61.008056,Stranden Mora - Parkering,Pris: 0.00 SEK - Inlagt 2013-12-09 |  | Centrumnära
14.6325,60.957222,Ångbåtsbryggan Nusnäs - Ställplats,Pris: 100.00 SEK - Inlagt 2024-01-01 | Vatten | Nära vatten Badplats Båthamn
14.11953,61.116199,Ladutimmernäs Badplats - Parkering,Pris: 0.00 SEK - Inlagt 2014-07-27 | HCP | Badplats Fiskeplats
14.126597,60.826062,Johannisholm - Rastplats,Pris: 0.00 SEK - Inlagt 2019-09-08 | Kassettömning WC HCP Sopor | Nära vatten
14.799167,60.968889,Ställplats Fåsås Fäbod - Ställplats,Pris: 100.00 SEK - Inlagt 2021-09-01 | Vatten TC | Lugnt och Avskilt Naturnära
14.373333,60.889167,Siljansfors Skogsbruksmuseum - Ställplats,Pris: 150.00 SEK - Inlagt 2021-09-16 | WC Sopor | Sevärdhet Restaurang
14.616111,60.894167,Kulåra Camping och Brygga - Ställplats,Pris: 150.00 SEK - Inlagt 2022-08-18 | Vatten TC Sopor | Badplats Fiskeplats Lugnt och Avskilt
14.694444,61.001944,Vildmarksfisket Mora - Naturcamping,Pris: 150.00 SEK - Inlagt 2026-01-27 | El TC Dusch Sopor | Nära vatten Badplats Fiskeplats Lugnt och Avskilt Naturnära
14.747222,61.2675,Helvetesfallet - Parkering,Pris: 0.00 SEK - Inlagt 2016-07-23 | Sopor | Sevärdhet
15.135962,60.878299,Rättviksbacken - Ställplats,Pris: 250.00 SEK - Inlagt 2022-03-22 | El Vatten Kassettömning WC Dusch Sopor Tvättstuga | Naturnära Vintersportanläggning
15.108972,60.948208,Dalhalla - Ställplats,Pris: 295.00 SEK - Inlagt 2023-08-11 | WC | Sevärdhet
15.102056,60.861528,Söderås - Rastplats,Pris: 0.00 SEK - Inlagt 2015-06-25 | HCP TC Sopor | 
15.055113,60.910922,Sjurberg - Rastplats,Pris: 0.00 SEK - Inlagt 2006-12-01 | WC HCP | 
15.702842,61.057626,Dalstuga Naturcamping - Naturcamping,Pris: 100.00 SEK - Inlagt 2023-09-12 | El Vatten TC Sopor | Nära vatten Badplats Fiskeplats Lugnt och Avskilt
15.129167,60.888611,Rättviksgården - Ställplats,Pris: 375.00 SEK - Inlagt 2023-08-12 | El Vatten WC Dusch Sopor | Centrumnära Lugnt och Avskilt
15.031667,60.907222,Vikarby båtklubb - Campingplats,Pris: 280.00 SEK - Inlagt 2021-02-22 | El Vatten WC Dusch Sopor | Badplats Båthamn
15.463417,59.912889,Malingsbo Lägerplats - Naturcamping,Pris: 195.00 SEK - Inlagt 2020-04-23 |  | Fiskeplats
15.458056,60.129139,Naturrastplats Barken - Rastplats,Pris: 0.00 SEK - Inlagt 2005-12-28 | WC HCP Sopor | Nära vatten Restaurang
15.4175,60.138056,Smedjebackens Båtklubb - Ställplats,Pris: 250.00 SEK - Inlagt 2023-12-23 | El Vatten Kassettömning Markbrunn WC Dusch Sopor Tvättstuga | Centrumnära Båthamn
15.75495,60.348372,Säterdalen - Rastplats,Pris: 0.00 SEK - Inlagt 2024-01-26 | Kassettömning | Centrumnära
14.29,60.499722,Rutån - Naturcamping,Pris: 0.00 SEK - Inlagt 2021-07-04 |  | Nära vatten
14.467667,60.491444,Gullgråda - Rastplats,Pris: 0.00 SEK - Inlagt 2021-07-03 | WC HCP Sopor | Nära vatten Fiskeplats
14.235222,60.477917,Härjeån - Rastplats,Pris: 0.00 SEK - Inlagt 2021-08-10 | Sopor | 
12.759333,61.651722,Mörkrets Camping - Naturcamping,Pris: 100.00 SEK - Inlagt 2019-08-02 | El TC Sopor | Nära vatten Fiskeplats Naturnära
12.297156,62.106746,Sjöstugan - Campingplats,Pris: 330.00 SEK - Inlagt 2021-02-11 | El Vatten Kassettömning WC Dusch Sopor | Nära vatten Badplats Fiskeplats Naturnära
13.981,61.273167,Lägerplats Lokarakan Norr - Naturcamping,Pris: 60.00 SEK - Inlagt 2021-08-18 | TC | Nära vatten Fiskeplats Naturnära
13.723056,61.306944,Lägerplats Gryvelnäs - Naturcamping,Pris: 60.00 SEK - Inlagt 2008-12-07 | TC | Nära vatten Badplats Fiskeplats Lugnt och Avskilt
13.087678,61.561498,Bornåsjön - Parkering,Pris: 0.00 SEK - Inlagt 2021-08-11 |  | Nära vatten Badplats Fiskeplats Naturnära
12.823083,61.943139,Nipfjällets Vinterparkering - Parkering,Pris: 0.00 SEK - Inlagt 2006-12-05 |  | Naturnära
12.250417,62.063194,Valdalen - Parkering,Pris: 0.00 SEK - Inlagt 2010-02-04 |  | Naturreservat
13.082583,61.405528,Sörsjön - Parkering,Pris: 50.00 SEK - Inlagt 2020-08-01 | Vatten WC Sopor | Badplats
13.619722,61.078889,Mångsbodarna - Parkering,Pris: Saknas | TC | Naturnära
13.296028,61.110444,Vasaloppstarten - Parkering,Pris: 100.00 SEK - Inlagt 2021-08-11 | Vatten WC | Sevärdhet Vid Rastplats
13.243544,61.435561,Nornäs Camping - Naturcamping,Pris: 250.00 SEK - Inlagt 2021-02-22 | El Vatten WC Dusch WiFi Sopor Tvättstuga | Nära vatten Badplats Fiskeplats Naturnära
13.733768,61.31964,Gryvelnäs Norr - Naturcamping,Pris: 60.00 SEK - Inlagt 2021-07-26 | TC Sopor | Nära vatten Fiskeplats Lugnt och Avskilt Naturnära
12.658691,61.931106,Lägerplats Mellebron - Naturcamping,Pris: 60.00 SEK - Inlagt 2008-12-07 | TC Sopor | Nära vatten Fiskeplats Naturnära
12.95884,61.757971,Lägerplats Hedarfjorden Syd - Naturcamping,Pris: 60.00 SEK - Inlagt 2005-03-12 | TC Sopor | Nära vatten Fiskeplats Lugnt och Avskilt Naturnära
12.933333,61.784861,Lägerplats Kringelfjorden N - Naturcamping,Pris: 60.00 SEK - Inlagt 2021-05-03 | TC Sopor | Nära vatten Fiskeplats
14.275194,61.108278,Spjutmosjön - Rastplats,Pris: 0.00 SEK - Inlagt 2005-12-29 | WC HCP Sopor | Nära vatten Restaurang
13.075667,61.69375,Lomkällan - Rastplats,Pris: 0.00 SEK - Inlagt 2010-08-04 | WC HCP Sopor | Sevärdhet Restaurang
19.263137,57.971923,Ekevikens Camping - Campingplats,Pris: 290.00 SEK - Inlagt 2023-12-04 | El Vatten Kassettömning Markbrunn WC Dusch Sopor Tvättstuga | Nära vatten Badplats
19.080838,57.952325,Ställplats Lauterhorn - Ställplats,Pris: 150.00 SEK - Inlagt 2023-07-03 | El Vatten Kassettömning WC Dusch | Nära vatten Sevärdhet Båthamn
18.127085,56.920588,Hoburgen - Parkering,Pris: Saknas |  | Sevärdhet
18.3835,57.719833,Krusmyntagården - Parkering,Pris: Saknas | WC | Badplats Sevärdhet
18.88649,57.730902,Hide - Parkering,Pris: Saknas |  | Nära vatten
18.988546,57.792503,Lergrav - Parkering,Pris: Saknas | Sopor | Sevärdhet
18.853566,57.435463,Katthammarsvik - Ställplats,Pris: 150.00 SEK - Inlagt 2025-05-03 | WC | Nära vatten Badplats
19.024364,57.776767,Furildens Naturreservat - Parkering,Pris: 0.00 SEK - Inlagt 2018-08-05 |  | Naturreservat
18.15,56.942778,Kettelviks Stenmuseum - Parkering,Pris: 0.00 SEK |  | Sevärdhet
19.057639,57.865694,Fårösunds Hamn - Ställplats,Pris: 240.00 SEK - Inlagt 2020-07-29 | WC Dusch Sopor | Båthamn
18.956111,57.728333,Smöjen - Parkering,Pris: Saknas | TC Sopor | Badplats Fiskeplats Båthamn Lugnt och Avskilt
18.924579,57.919625,Blå Lagunen - Ställplats,Pris: 150.00 SEK - Inlagt 2023-08-04 | TC Sopor | Nära vatten Badplats Lugnt och Avskilt Naturreservat
18.274308,57.623032,Träffpunkt Gotland - Rastplats,Pris: 0.00 SEK - Inlagt 2018-06-04 | Vatten WC HCP Sopor | Nära vatten
19.029133,57.854374,Bungemuséet - Rastplats,Pris: 0.00 SEK - Inlagt 2006-07-28 | WC Sopor | Sevärdhet
18.925635,57.834294,Ringkorset - Rastplats,Pris: 0.00 SEK - Inlagt 2007-12-03 | WC HCP | 
18.295327,57.058717,Käldhagen - Rastplats,Pris: 0.00 SEK - Inlagt 2021-06-16 | WC HCP Sopor | 
18.691667,57.340278,Hallute Backe - Rastplats,Pris: 0.00 SEK - Inlagt 2012-07-12 | Vatten WC HCP Sopor | 
19.132972,57.915389,Kyrkviken - Rastplats,Pris: 0.00 SEK - Inlagt 2019-09-07 | Vatten WC HCP Dusch | Sevärdhet
18.308759,56.944079,Vändburg Hamn - Ställplats,Pris: 170.00 SEK - Inlagt 2022-08-07 | Vatten | Nära vatten Sevärdhet Båthamn
18.839434,57.894728,Bläse Kalkbruk - Ställplats,Pris: 380.00 SEK - Inlagt 2024-07-23 | El Vatten WC HCP Dusch Sopor | Sevärdhet Båthamn
18.917199,57.422502,Herrviks Hamn - Ställplats,Pris: Saknas | Vatten WC HCP Dusch | Badplats Fiskeplats Restaurang
18.124722,57.294028,Vavle Fiskeläge - Parkering,Pris: Saknas | WC | Badplats Fiskeplats Naturnära
18.416133,57.754245,Kinnerstugan Lummelunda - Ställplats,Pris: 100.00 SEK - Inlagt 2019-12-23 | El WC Dusch Tvättstuga | Sevärdhet
18.188482,57.389126,Klinte Båtklubb - Ställplats,Pris: 200.00 SEK - Inlagt 2020-08-13 | El Vatten Kassettömning WC Dusch Sopor Tvättstuga | Centrumnära Båthamn
18.551475,57.79855,Kojsagården - Ställplats,Pris: 150.00 SEK - Inlagt 2021-04-11 | El Vatten Kassettömning WC Dusch Tvättstuga | Eventcenter
18.71252,57.357608,Ställplats Ljugarns GK - Ställplats,Pris: 200.00 SEK - Inlagt 2024-07-29 | El Vatten Kassettömning Markbrunn WC Dusch | Restaurang Golfbana
16.365,61.541111,Orbaden - Parkering,Pris: 0.00 SEK - Inlagt 2019-06-27 |  | Centrumnära Badplats
16.407083,61.341944,Långnäs - Parkering,Pris: 0.00 SEK - Inlagt 2019-06-27 |  | Centrumnära Badplats
16.679413,61.218221,Norrlandsporten - Rastplats,Pris: 0.00 SEK - Inlagt 2005-03-20 | WC HCP Sopor | Restaurang
16.394324,61.346428,Bollnäs Turiststopp - Ställplats,Pris: 0.00 SEK - Inlagt 2023-06-18 | Kassettömning WC Sopor | Nära vatten Tankställe
16.618889,61.363333,Rengsjö Camping - Campingplats,Pris: 250.00 SEK - Inlagt 2025-03-13 | El Vatten Kassettömning Markbrunn WC Dusch WiFi Sopor Tvättstuga | Nära vatten Badplats Naturnära
16.963601,60.636216,Mackmyra Bruk Camping - Ställplats,Pris: 300.00 SEK - Inlagt 2025-07-22 | El Vatten WC Dusch | Sevärdhet Golfbana
17.160291,60.676571,Södra Skeppsbron - Ställplats,Pris: 300.00 SEK - Inlagt 2025-08-10 | El Kassettömning WC HCP Dusch WiFi Sopor Tvättstuga | Nära vatten Centrumnära
17.035333,60.315911,Hasselön - Friplats,Pris: 0.00 SEK - Inlagt 2006-11-28 | Sopor | Nära vatten Naturnära
16.943554,60.768678,Drumbron - Friplats,Pris: 0.00 SEK - Inlagt 2009-12-08 |  | Nära vatten Badplats Fiskeplats
17.018359,60.903356,Hagsta - Rastplats,Pris: 0.00 SEK - Inlagt 2024-07-18 | WC HCP Sopor | Restaurang Tankställe
17.119611,60.649556,Gävle Bro - Rastplats,Pris: 0.00 SEK - Inlagt 2006-07-25 | WC HCP Sopor | Restaurang Tankställe
16.914403,59.774004,Fjärdhundrabadet - Parkering,Pris: 0.00 SEK - Inlagt 2018-05-07 |  | Badanläggning
17.157488,61.048639,Axmar Brygga - Ställplats,Pris: 195.00 SEK - Inlagt 2023-04-26 | El Vatten Kassettömning Markbrunn WC Dusch Sopor | Badplats Fiskeplats Sevärdhet Båthamn Restaurang
17.144991,60.930477,Norrsundets Motorbåtsklubb - Ställplats,Pris: 180.00 SEK - Inlagt 2023-07-08 | El Vatten Kassettömning WC Dusch Sopor Tvättstuga | Badplats Fiskeplats Båthamn
16.635,60.441667,Gammelstilla Café - Ställplats,Pris: 50.00 SEK - Inlagt 2021-05-01 | El Vatten WC | Badplats Sevärdhet
16.557806,61.89425,Friggesunds Båthamn - Parkering,Pris: Saknas |  | Centrumnära Båthamn
16.679091,61.843292,Sördellen - Parkering,Pris: Saknas |  | Nära vatten
